AccountID,Business_Industry,_WFR,Subscribers,Customer_Since,App & Portal Sessions,Alerts Sent to Travellers,Pre Trip Advisories Sent,DLP Completed Courses,Total Cases,Medical Cases,Security Cases,Travel Cases,Medical Cases: I&A,Medical Cases: Out-Patient,Medical Cases: In-Patient,"Medical Cases: Evacuation / Repatriation, & RMR",Security cases: I&A,Security cases: Referral,Security cases: Interventional Assistance,Security cases: Evacuation,Security cases: Active Monitoring
1622230,Commercial and Professional Services,Non-WFR,4150,4/1/23,21,0,0,0,123,8,122,0,8,0,0,0,121,1,0,0,0
1425542,Aviation Commercial,WFR1,100,4/3/24,14,0,0,0,7,6,0,1,1,3,0,2,0,0,0,0,0
1073557,Government and IGOs,Non-WFR,2200,5/1/24,11,0,0,0,10,10,1,0,8,0,0,2,1,0,0,0,0
1634294,Transport Services,WFR1,2500,9/30/24,332,0,0,0,5,1,3,1,1,0,0,0,2,1,0,0,0
1632562,Commercial and Professional Services,WFR2,50,10/21/24,181,0,0,0,3,0,2,1,0,0,0,0,1,1,0,0,0
1622424,Education,WFR1,400,6/30/24,202,0,0,0,31,30,1,0,12,18,0,0,1,0,0,0,0
1560528,NGOs,WFR1,200,10/15/24,588,0,0,0,4,0,2,2,0,0,0,0,2,0,0,0,0
1624751,NGOs,WFR1,55,2/29/24,124,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1628180,Banks and Financial Services,WFR3,130,3/29/24,81,1,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0
1635815,Education,WFR1,96,9/30/24,135,0,0,0,8,5,3,1,5,0,0,0,3,0,0,0,0
1633340,Automobiles and Components,WFR2,220,4/1/24,4,0,0,0,7,6,1,0,6,0,0,0,1,0,0,0,0
957507,Education,WFR1,150,6/11/19,123,0,0,0,8,4,6,0,4,0,0,0,6,0,0,0,0
1251952,Education,WFR1,192,3/31/24,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361467,Oil and Gas,WFR3,53,11/1/24,59,10,0,0,9,8,1,0,6,2,0,0,1,0,0,0,0
1607681,Media Entertainment Gaming,WFR3,100,7/31/24,1659,410,0,0,10,1,9,0,1,0,0,0,9,0,0,0,0
1226099,Consumer Services,WFR1,500,11/30/16,36,0,0,0,23,20,3,1,16,4,0,0,3,0,0,0,0
1630473,Electricity Generation and Renewables,WFR3,150,7/15/24,266,337,0,0,12,0,12,0,0,0,0,0,12,0,0,0,0
1631801,Commercial and Professional Services,WFR1,61,5/1/24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636318,NGOs,WFR1,50,7/31/24,29,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0
1575027,Heavy Industry Manufacturing and Machinery,WFR1,88,4/1/24,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1463311,Engineering and Construction,WFR2,407,7/3/24,8,0,0,0,4,1,4,0,1,0,0,0,4,0,0,0,0
1587862,Commercial and Professional Services,WFR1,60,2/1/24,41,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
1551946,Healthcare Equipment and Services,WFR3,800,6/30/24,97,143,0,0,7,0,7,0,0,0,0,0,7,0,0,0,0
1637143,Tech Hardware Semiconductors and Equipment,WFR1,438,9/30/24,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577940,Heavy Industry Manufacturing and Machinery,WFR1,170,11/1/24,224,0,0,0,16,4,16,0,4,0,0,0,16,0,0,0,0
1024044,Banks and Financial Services,WFR1,500,1/1/12,487,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
